age,income,gender,city,purchases,score,category,is_active,signup_year,device,last_login_days,target
31.0,-3733.872773036048,male,,12,0.15602150734981712,B,,2021,,9,1
34.0,-2365.911416635603,male,Unknown,4,0.10238421118312846,B,,2020,Android,334,1
53.0,14988.397240037146,,Cairo,49,0.5923400367639144,D,,2022,Web,112,1
57.0,7574.97146956314,female,,18,0.28229782838301165,A,1,2020,Android,325,0
21.0,8442.044958240374,female,Unknown,20,0.8974476373998481,B,0,,Web,10,0
19.0,11056.043816623118,,,2,??,A,,2019,,380,1
23.0,8353.305051504074,,Giza,25,0.9301559973560123,D,1,2019,Web,363,0
59.0,7935.885399083731,male,Giza,32,0.33273883402262594,B,1,2019,,28,0
21.0,11775.200778595223,unknown,Tanta,29,0.867305765420216,C,,2021,Android,366,0
46.0,3270.086840442753,unknown,Tanta,21,0.9489958882203035,D,,2021,Web,359,0
35.0,15219.62943337267,female,,4,0.9863635839972112,D,1,2022,Android,157,1
43.0,8963.874888065411,unknown,Tanta,18,0.8035933688473706,C,1,2021,,78,0
51.0,5474.536746666072,male,,8,0.10168654165666358,D,0,2022,iOS,257,1
27.0,,,,23,0.05537872568333435,C,1,2020,Web,214,1
53.0,10191.933489048954,female,Unknown,38,0.7397290243395009,C,1,2018,Web,140,0
31.0,8621.390305997304,female,Giza,11,0.8970397018001509,D,0,2019,iOS,345,0
48.0,3030.219664665582,,Cairo,45,0.1660569203039337,C,1,2019,Android,372,1
32.0,7291.742025798386,unknown,Alex,47,0.9410674453462042,C,1,2022,Web,235,0
25.0,6358.604487027327,female,Giza,44,??,D,0,2021,Android,164,1
31.0,15678.354414343914,,Tanta,26,0.1240093082251772,C,0,,,148,0
40.0,10587.03586737284,,,49,0.1670336665042601,A,,2020,Android,276,1
57.0,17062.02742766751,unknown,Tanta,41,0.06595547997361839,D,1,2022,,297,1
38.0,6805.11599034734,unknown,Unknown,20,0.14321528527456362,D,,2019,Web,70,0
33.0,8689.906500651865,male,Tanta,37,0.7321239373829574,A,0,,,122,0
35.0,11739.489513560713,unknown,Unknown,34,0.2187663485100083,,1,2022,Web,87,1
41.0,12718.596747583153,unknown,Cairo,31,0.561654145365961,B,0,2018,,334,0
43.0,13244.459826038345,,,35,0.7210812763413564,C,1,2018,iOS,67,1
42.0,6004.857014049359,female,Tanta,32,0.8952776943481349,C,,2018,Android,22,1
58.0,6131.443883542321,,Unknown,42,0.5899268687668056,B,1,2020,,175,1
46.0,8400.608778307706,male,Tanta,16,0.5697173932985962,C,0,2018,iOS,344,1
32.0,16664.080888385186,,Unknown,4,0.9128230450206024,C,1,2020,iOS,14,1
18.0,5496.925674558087,male,,43,0.2949048816999269,A,,,iOS,300,0
42.0,,unknown,,19,0.20370159129747045,A,,2022,Android,396,1
24.0,13284.36061490434,female,Giza,22,0.8727959651265886,A,,2020,,257,1
26.0,13043.59419136969,female,Unknown,38,0.07452296070706943,A,0,2019,Android,367,1
41.0,12499.382655180638,,Alex,3,0.1896821159447294,D,1,2021,,101,1
18.0,10363.79611350686,female,Cairo,25,0.4112530479513762,C,1,2018,iOS,264,1
25.0,5206.898703026188,male,Giza,29,0.3612505793832864,B,0,2021,iOS,150,0
41.0,6891.50831994039,male,Cairo,47,0.7060920063907306,C,,2022,iOS,140,1
28.0,15069.205791680277,unknown,Giza,46,0.09180691829647747,D,0,2020,Android,324,0
34.0,13481.367999650836,,Tanta,45,0.47715781719839145,D,1,2020,iOS,16,0
25.0,3992.5679150104024,unknown,Unknown,28,0.8085549298754378,C,1,2021,Web,277,0
52.0,13912.5593336717,female,Tanta,33,0.6833435371697973,C,1,2022,Web,159,0
52.0,,unknown,Cairo,9,0.6316490624027661,A,1,2021,iOS,127,0
50.0,10242.23854921152,female,,19,0.23935986522585906,D,1,2019,Android,369,0
22.0,11918.265313058231,male,Cairo,23,0.39363272373679337,C,,2018,iOS,186,1
59.0,14551.683335092941,,Giza,33,0.1807235006429322,B,0,2018,,21,0
56.0,6869.276217269191,,Cairo,36,0.5089250538186798,B,,2020,Web,398,1
58.0,20483.19012079666,unknown,Unknown,12,0.5841682809486871,A,1,,,381,0
,15503.850903909395,female,Cairo,22,0.631181146696609,A,,2022,iOS,100,0
24.0,12358.12666241558,male,Tanta,9,??,C,0,2022,iOS,271,0
26.0,9844.714701168798,female,,21,0.06182981936420884,B,1,2020,,32,1
25.0,12226.498500761863,unknown,Unknown,44,??,D,,2022,Web,34,1
29.0,2978.7287560099976,female,Cairo,13,0.5909707209762183,,0,2022,Android,208,1
51.0,19369.394955593285,male,Alex,24,0.5701228414854154,B,,2018,Web,374,0
50.0,15080.012080490575,unknown,Alex,17,0.02170412194599558,D,,2019,iOS,74,0
40.0,16588.06118561015,male,,19,0.1893090734158599,B,0,2019,,358,0
41.0,10138.407236576615,unknown,Tanta,27,0.8457447822750699,C,1,2020,Android,336,1
54.0,8378.698617641676,,Giza,7,0.5153918224347395,,,2019,Android,231,1
52.0,6965.617584923759,female,Giza,4,0.41355893230715546,,1,2019,Android,214,1
57.0,13661.08573981063,male,,20,0.9001752658700097,C,0,2018,Web,129,1
39.0,7693.538141546781,male,Cairo,19,0.07495206903961071,C,1,2019,Android,280,0
44.0,9156.893800668819,female,Unknown,43,0.9223103826334335,A,,2019,,86,1
52.0,12458.796070038625,male,,15,0.027783314967244843,D,,2019,Android,21,1
18.0,7033.0225742364755,male,Giza,19,0.5626702779632082,D,0,,Web,180,1
52.0,14697.760437924357,male,Alex,24,0.5550911098687548,A,,,Android,260,0
54.0,9920.165149495655,,Giza,6,0.6390682624733312,D,,2021,,82,1
31.0,3213.4630676681263,male,Alex,24,0.02962627288679509,,0,2019,,189,0
20.0,6984.987945542523,,Giza,35,0.5305188975921301,B,1,2021,Web,116,1
18.0,,female,Tanta,9,0.11361403974255613,,1,2018,Web,397,0
22.0,5783.488689869278,,,39,0.15597910693528227,A,1,2019,,91,0
43.0,14023.348692569285,male,Unknown,15,0.21535487349667048,D,1,2022,,263,0
31.0,10547.530465125576,male,,3,0.6131770705436891,D,,2021,,209,0
56.0,9227.348642218987,male,Cairo,9,0.3900886552892108,B,1,2019,,290,0
44.0,21306.673678524734,,Alex,47,0.08533742115448029,B,0,,Web,322,1
26.0,4221.026906816555,unknown,Giza,30,0.2890132581361947,B,0,2022,iOS,399,1
32.0,6669.398777545976,unknown,Cairo,11,0.0766213274918961,,1,2020,iOS,316,1
32.0,9894.564689574665,female,Alex,19,0.664127478636259,A,,2021,Android,325,1
43.0,20870.872264225378,female,,31,0.5574652312110355,A,0,2018,,292,1
59.0,9905.044704434615,female,Alex,1,0.40768616653158063,A,0,2020,Android,344,1
30.0,11234.138223499534,male,Tanta,10,0.9276767888965325,,,2022,Web,110,1
49.0,8488.74025186014,unknown,Giza,19,0.5187250887269649,C,0,2021,Android,64,1
,11613.828603528566,unknown,,22,??,D,1,2021,Android,158,1
49.0,8767.821670135922,female,Cairo,12,0.5790850466309576,,1,2019,Android,224,1
21.0,13128.95171994965,unknown,Giza,34,0.3767928930583959,A,1,2020,Android,139,1
47.0,13483.842969184725,female,,16,0.5389968752847891,,,2019,iOS,318,1
54.0,8946.526767273104,male,Giza,9,0.15186241091842734,,0,2018,iOS,149,1
40.0,4935.339828567712,unknown,Unknown,39,0.6747534225784977,C,0,2020,,115,1
56.0,10421.064311615812,male,Alex,37,0.9821331800466178,B,,2021,,131,0
32.0,16309.54786789525,male,Alex,13,0.24743811517426162,A,1,2022,Android,348,1
46.0,6280.027327993557,unknown,Unknown,18,0.32319764783161875,,1,2018,,95,0
53.0,11502.626006769853,,Unknown,31,0.4060915016164832,B,,2019,Android,277,1
30.0,4574.168064943221,female,Giza,32,0.4834825924315631,D,0,2019,Android,249,1
49.0,,unknown,Alex,42,0.719103004055309,D,1,,Web,106,0
24.0,15851.646258863446,male,Cairo,24,0.1366731383590658,D,1,2018,iOS,105,1
39.0,13111.900221921758,female,Tanta,24,0.30246554249644686,,0,2020,Android,314,1
45.0,11570.343085172924,male,,13,0.5386705050648336,,1,2018,Web,199,0
19.0,-447.9796893873281,female,Unknown,44,0.5895774046583214,C,0,2020,iOS,354,0
59.0,7511.982078534822,unknown,Cairo,43,0.5366302213422235,A,0,2018,,246,1
23.0,12730.663013890093,male,Cairo,37,0.43548889553855874,B,1,,,300,1
45.0,3479.2052143555447,female,Giza,35,0.711475057002065,D,1,,iOS,314,1
45.0,8407.515745411314,female,Unknown,23,0.20447472366303165,B,0,2018,iOS,137,1
37.0,13449.941697786928,unknown,Cairo,40,0.28272767515070696,C,,2021,Android,34,0
47.0,3199.8757899483735,female,Tanta,38,0.4444834844644162,D,,2020,,138,0
28.0,2443.2103587304146,female,Cairo,38,0.6955029638068156,B,1,2018,iOS,330,1
45.0,3277.773476901192,male,Tanta,12,0.08235083368626483,A,0,2019,Android,333,0
42.0,11505.183452251806,unknown,Tanta,1,??,A,0,2019,Android,272,0
56.0,7493.506620116939,unknown,Tanta,33,0.7824083350258016,C,0,,iOS,179,1
50.0,13951.218819084017,male,Unknown,14,0.26095495777442546,B,,2020,Android,80,1
18.0,10544.582733555766,,Tanta,47,0.9634867823467156,C,1,2018,Web,183,0
44.0,18462.40623072118,male,Unknown,1,0.9614049260916092,C,1,2020,Web,189,1
30.0,4431.330107877933,male,Cairo,24,0.6859449862317413,C,,2018,Web,228,0
58.0,11492.972672990942,,Tanta,4,0.7168732210673109,,0,2021,,50,1
20.0,6421.533530389074,female,Alex,33,??,A,,2022,iOS,295,1
56.0,12700.957146166133,unknown,Cairo,38,0.17733093707707037,,,2019,Web,244,0
23.0,10539.71150622778,unknown,,4,0.5004556534821065,,1,,,284,1
25.0,5530.956292808287,,Alex,42,0.7930162112492182,A,,2020,iOS,26,1
44.0,9292.814892510058,unknown,Alex,7,0.7746781034227442,C,0,2019,Android,378,1
26.0,10328.94134745243,,Giza,48,0.8987706627998243,B,,2018,Android,171,0
54.0,7303.109770021487,female,Unknown,13,0.9007981743673962,C,0,2019,iOS,180,1
50.0,13272.252467426097,,Giza,28,0.2614854366570286,C,,2018,iOS,253,1
59.0,5360.083224989884,unknown,Unknown,29,0.7217205113769878,,0,2020,Android,186,1
41.0,19409.538511149236,unknown,Giza,36,0.651339937579549,B,1,,iOS,268,0
32.0,14291.606352820847,,Cairo,3,0.8858301746052077,A,1,,,271,1
49.0,11569.335035740913,unknown,Alex,34,0.1834743931396169,D,,2022,iOS,299,1
49.0,22803.91423613736,,Cairo,6,0.7397925765003259,A,1,2021,Android,262,1
41.0,8608.155283480308,unknown,Unknown,25,0.42333211051105935,B,,2021,,333,0
58.0,12751.191404039562,male,Alex,31,0.39448551710436297,A,0,2019,,4,0
29.0,11002.062086196434,female,Alex,42,0.03579098191066621,,0,2020,Web,255,0
56.0,13588.60461943521,unknown,Unknown,32,0.9614604152433822,B,1,2020,Android,262,0
19.0,16732.52365179979,unknown,Cairo,23,0.6757685421486537,D,,,Android,17,0
20.0,12470.272194751116,unknown,Alex,49,0.5907022921040811,D,0,2021,,194,1
54.0,14688.072528918397,,,0,0.25116582062833004,B,,2018,iOS,396,1
34.0,7523.254043440338,unknown,Cairo,28,0.658445402900277,A,1,2021,iOS,332,0
19.0,9072.324331912907,,Cairo,47,0.9456027918015356,D,,,Android,176,1
19.0,17372.294021183516,unknown,Cairo,44,0.16328775550279317,B,1,2019,Android,155,0
,12685.85273588212,male,Alex,37,0.9838086177856292,B,,2021,Web,271,1
40.0,11117.45640186185,male,Tanta,37,0.4274293407717954,B,1,2018,Android,338,0
54.0,6610.401059124172,female,Giza,20,0.9782291189500214,C,,,,279,0
49.0,14349.682365107277,,Unknown,22,0.6338675573250938,A,,2019,Android,308,0
50.0,6483.405605578929,female,Cairo,45,0.3241067862278152,B,,2018,,168,1
18.0,5157.253649034524,unknown,Alex,4,0.37444397245315153,B,1,2022,,272,1
36.0,10517.165879630145,unknown,Unknown,29,0.2905548271182724,C,,2019,,116,0
19.0,-811.2164008791078,male,Tanta,39,0.3347770411164446,,1,2018,Android,186,0
43.0,12749.845223669387,female,,17,0.6465358657016368,C,0,2021,Web,7,1
49.0,11696.248885335797,unknown,Tanta,5,0.016605105741537285,B,,2022,,33,0
23.0,8412.383986138628,unknown,Alex,4,0.9676311587593183,A,,2018,,344,0
49.0,8820.468286479832,,Cairo,41,0.7685280549977632,C,1,,Android,175,1
21.0,9463.055929001206,unknown,Tanta,17,0.9410092950547375,B,,2021,,197,0
28.0,6448.926801036963,female,Tanta,12,0.7175430606957452,A,,2022,Web,345,1
34.0,10830.576823742318,male,Tanta,19,0.4810336585170709,C,0,2020,Web,17,0
55.0,8877.722813265182,male,,37,0.18972745554670956,D,,2020,,243,0
41.0,10506.034689798784,unknown,Alex,20,0.5163215475414458,A,,2022,Android,255,1
22.0,9299.221365993655,unknown,Unknown,3,0.7116955497571892,B,0,2018,,28,1
51.0,8413.620973789386,unknown,Giza,12,0.854182697316131,A,1,2018,Web,98,1
23.0,11253.216805469367,,Alex,17,0.32413109117931815,A,0,2019,iOS,291,0
39.0,13514.949293191798,unknown,Cairo,12,0.5104807967433951,B,0,2018,Web,26,1
28.0,7638.538846744463,unknown,Alex,12,0.6199808629150263,D,,2018,iOS,103,0
33.0,11779.629812406809,,Alex,38,0.5885928151136209,A,,2020,iOS,63,1
50.0,12337.436847313858,female,,36,0.05237277677739893,B,1,2020,iOS,262,0
26.0,4222.612530970433,,Giza,34,0.48339383254268975,A,1,2018,,177,1
23.0,14394.450138192136,male,Giza,37,0.8090313072396111,,1,2021,Android,153,1
33.0,19254.03098795195,,Giza,39,0.8023038390415947,D,0,2020,Android,110,0
46.0,9603.569392018544,,Unknown,26,0.5071421952334765,,0,,,110,1
20.0,9229.620660831866,female,Alex,25,0.9523563824024377,A,0,,Web,263,0
37.0,9041.472272820936,female,,11,0.8262302779289088,D,1,,,244,0
53.0,12792.725896596867,unknown,Cairo,1,0.737326905192646,B,1,2018,Android,245,1
36.0,12298.503369924152,,Giza,42,0.5156007789650536,,,2020,Web,242,1
43.0,2842.0245895561575,female,Giza,19,0.5906763448059532,D,0,2018,Android,145,0
20.0,6102.4552739462715,male,Alex,34,0.22323518274819976,D,,2022,,114,0
36.0,12282.907824512593,unknown,Cairo,9,0.5324069357108697,A,1,2020,,180,0
37.0,9347.40203554112,,,7,0.5260218124724652,,,2018,,28,0
49.0,4752.469417422161,male,Giza,39,0.20276246357229055,B,0,2020,,376,1
24.0,16751.170811296077,female,Alex,45,0.951148303091929,C,1,2021,Web,292,0
58.0,6401.29030183909,unknown,Tanta,35,0.24475214893346642,A,0,2022,Android,15,0
50.0,10160.997048986175,male,,30,0.10422247104014648,D,1,2018,Web,2,1
57.0,9228.16399856962,,Unknown,14,0.46700920763132137,,0,2022,,243,0
56.0,5145.9003957224895,male,,41,0.68607353791799,C,,2018,iOS,278,1
35.0,10832.29660981195,unknown,Alex,17,0.19515186755821212,D,1,2022,Web,311,1
57.0,11764.480975747389,,Giza,14,0.18289157981497073,,0,2022,iOS,267,1
18.0,7895.457856766675,,,18,0.26147032558817385,,1,2019,iOS,32,0
28.0,8487.13481024733,male,Cairo,23,0.30271738804423864,C,1,2018,Web,40,0
45.0,12702.191692431761,unknown,Tanta,34,0.24620005278220447,D,0,2020,iOS,397,1
42.0,1111.8778045147537,,Cairo,1,0.47069865549289314,C,,2020,Android,48,0
40.0,6197.482673885255,unknown,Cairo,12,0.018263105122721,B,1,2020,Web,111,0
48.0,10960.457034395706,female,Cairo,44,0.08751669408653406,A,0,2022,Android,305,1
47.0,7629.675728544476,male,Alex,8,0.7293644723926,A,1,2021,,281,0
59.0,7565.369213217467,unknown,Alex,34,0.4123399357926266,B,,2020,Android,201,0
52.0,14057.61645788276,female,,1,0.36031719202584234,D,,,,299,1
24.0,7150.040730830431,female,Unknown,45,0.010444781667369507,C,0,2022,,196,0
33.0,18906.302130012205,unknown,Tanta,15,0.29821787685257783,A,,,Web,114,0
43.0,2104.693399499868,unknown,,45,0.8211863754087236,B,1,,,150,1
19.0,46.02775050069249,male,Cairo,35,0.3403672646902819,,,2020,Android,138,1
18.0,,male,,1,0.9636934535128172,A,,2019,,327,1
29.0,5572.219332825784,,Giza,15,0.38995894354309457,A,,2022,Web,224,1
22.0,5648.168852771526,male,,7,0.4641289012845988,B,1,2018,,62,0
54.0,14431.299732188545,unknown,,0,0.8019094699754497,C,,2022,,133,0
49.0,7762.291362790926,,Cairo,17,0.9830243032524897,A,1,,Web,172,1
26.0,14096.628171392073,female,,40,0.37159680026135655,C,0,2019,Android,379,0
58.0,7253.146257613933,female,Tanta,25,0.1199361107017638,B,1,2018,Web,270,0
,11631.391848888878,unknown,Cairo,43,??,,1,2020,Web,322,1
36.0,7698.5988400971055,,Alex,4,0.5917608615621865,A,0,2022,Web,140,1
33.0,5860.844758583702,,Alex,20,0.9594564697250003,C,,2019,,378,0
20.0,17787.70610890623,male,,34,0.4139225155141535,C,,2018,Android,272,1
37.0,15024.079793619216,female,,39,0.09081039804867896,D,0,,,89,1
41.0,6730.11692680294,female,Tanta,27,0.6509347319025415,C,,2021,,112,0
50.0,9197.217834335026,male,Unknown,25,0.021112125523090053,C,,2022,Web,202,1
41.0,16643.02059285076,female,Cairo,31,0.4254182773683377,B,0,,,363,1
28.0,5553.008132223152,male,Tanta,47,0.4096466323595017,C,,2022,iOS,98,1
25.0,5796.513834363602,female,,49,0.2548190862993588,D,0,,,69,1
53.0,12115.272125371845,female,,43,0.9643090562840883,,,2020,,358,1
55.0,20217.225521175493,female,,43,0.4034084145899768,D,,2021,iOS,179,0
,,male,,20,0.8947071146961418,,,2020,,347,0
37.0,,female,Giza,3,0.5151105476965253,A,,2021,,286,1
52.0,5421.521096700994,female,,41,0.8205361672715558,,0,2018,iOS,18,1
42.0,11624.735538712152,,,40,0.4513952226603575,,1,2018,Android,268,1
52.0,8381.733796667975,female,Giza,35,0.991537186462786,D,1,,Android,3,0
42.0,18399.812853820367,unknown,Unknown,23,0.640029064525529,B,0,2022,Android,5,0
46.0,17194.10879985909,female,Alex,32,0.15594700393856065,B,0,2022,Web,362,0
35.0,20257.37531583113,female,,4,0.006430822092133193,,,,Web,250,1
35.0,6870.2981990616645,,,2,0.9289003666259286,D,,2018,Android,201,1
19.0,10159.741933326737,,Tanta,10,0.6868008302128517,B,1,2021,,361,1
52.0,11688.251159458276,male,Cairo,44,0.106290671006532,B,1,2020,Android,246,1
33.0,7045.89563653352,male,Tanta,31,??,D,0,2018,iOS,182,0
58.0,10589.748398773314,unknown,,21,0.22714860426811345,,0,2018,iOS,68,1
53.0,14090.401163614733,,Unknown,10,0.8092303917375049,A,,2019,,182,0
50.0,7523.355125208231,male,Tanta,37,0.6099226714037416,D,,2022,iOS,171,1
21.0,6834.895931183385,male,Unknown,21,0.12365997833817566,D,,2021,iOS,183,0
50.0,6536.549007235601,male,Unknown,3,0.07094912925038821,D,1,2020,Android,350,0
31.0,3953.3392684509054,,,38,0.46611800025385264,,1,2019,Android,127,0
38.0,13842.967901920829,,Unknown,2,0.9368934580090519,,0,2019,iOS,60,0
37.0,6824.492489233538,unknown,Tanta,9,0.5646326962448932,D,1,,iOS,226,0
25.0,6350.017013880399,,Giza,36,0.7591088655687628,B,,2018,,350,0
24.0,12380.814258277333,,Cairo,18,??,A,0,2022,iOS,120,1
20.0,9952.227906028686,,Unknown,17,0.3840805947209499,C,1,2018,Android,105,0
34.0,7635.113379527063,unknown,,27,0.8222074993042553,D,,2019,Android,29,0
50.0,13647.829647997009,female,Alex,30,0.4633865494250503,D,0,2019,Android,183,1
29.0,7455.492406416595,female,Unknown,16,0.1415427075977641,,1,2020,Web,267,1
39.0,203.72062467724754,male,Tanta,23,0.2745204912790744,,0,2018,Android,293,0
39.0,15999.59344917616,female,Unknown,0,0.5613834115406873,C,0,2018,Web,147,0
47.0,6273.120359398022,female,Alex,4,0.40257713757209745,,1,2021,Android,272,0
55.0,6764.706195151308,unknown,Giza,31,0.36639291031559196,,,2020,Android,236,0
55.0,6784.583225598778,unknown,Tanta,16,0.6687642296629291,B,1,2022,,390,1
25.0,10268.204450385863,female,Tanta,20,0.6363204058898986,A,,2018,Web,7,1
44.0,8765.908942571692,female,,40,0.3140261097027187,B,0,2018,iOS,126,0
44.0,14446.320007861625,female,Tanta,42,0.3594266048828204,D,,2022,iOS,147,0
,17403.012966296817,male,Alex,21,0.7520664439290609,B,,2020,,31,0
38.0,,unknown,Tanta,38,0.921287581901002,C,0,2018,,231,1
47.0,5778.966591857123,female,Giza,38,0.32421474986401844,B,1,2022,Web,43,0
50.0,7651.443813907734,,Cairo,33,??,,0,2021,Web,73,0
45.0,11975.762310941365,female,Cairo,13,0.2652800198530112,C,,2018,,204,0
50.0,9476.375640568383,,Unknown,15,0.14150689957878881,C,1,2022,Web,234,1
22.0,7748.148204057186,male,Cairo,4,0.37717422549608215,D,1,2019,,139,1
36.0,,,Alex,17,0.516006116448469,D,0,2018,Android,185,1
21.0,60.00020739805586,unknown,Cairo,3,0.5374332554283513,,0,2021,,72,0
52.0,5478.771001593553,male,Alex,43,0.6910303369320828,A,,2022,Web,322,0
34.0,15689.871378333457,male,Alex,27,0.05255183528288965,C,1,2022,Android,294,0
45.0,11961.967478788885,female,Unknown,44,0.5614087378215888,,1,2018,,119,0
47.0,9138.091047681099,male,Cairo,26,0.2549889618917829,D,0,2019,Web,126,1
46.0,13284.040584508253,male,Unknown,5,0.23912349660014576,D,0,2022,Web,101,0
23.0,4204.525802043614,,Tanta,10,0.7897259296955345,A,,2022,Web,229,1
52.0,10255.375232000299,female,Giza,46,??,C,,2019,,215,1
58.0,1961.4019404702594,unknown,Cairo,20,0.3291001486756373,C,1,2021,,90,0
54.0,11557.085617690671,female,Tanta,16,0.6376383569039152,,0,2018,iOS,362,0
41.0,11167.818292204429,unknown,,30,0.6428733700148388,A,,,,137,1
46.0,11274.887004348919,,Tanta,33,0.048087936291525746,B,1,2018,,361,0
48.0,15254.281359819217,male,Unknown,12,0.07255885034049636,,,2018,Web,145,0
52.0,13491.976584380998,male,Unknown,22,0.6553632525265715,C,1,2020,Android,356,1
50.0,4559.88873102731,female,Giza,0,0.9531510766999531,,,2018,iOS,363,1
38.0,15322.236975463049,female,Giza,3,0.9985031135900024,,0,,iOS,369,1
49.0,,female,Giza,29,0.9871098343894974,,1,2019,iOS,380,1
40.0,1134.3317425095956,male,Giza,30,0.35158021336790146,,0,2018,iOS,174,0
50.0,9510.599687914879,male,Unknown,46,0.24181025192121908,C,0,,iOS,50,0
20.0,12912.080905640552,,Alex,15,??,A,1,2021,iOS,294,1
35.0,5437.666463743215,unknown,Unknown,42,0.3258268296965062,A,,2020,Web,320,1
42.0,15997.862096682351,female,Alex,2,0.2768536448369533,D,,2019,Web,35,1
59.0,5845.075483815268,male,Unknown,11,0.5767962113430665,D,1,2019,,196,1
48.0,7835.086191089707,unknown,,11,0.36878549698181884,B,1,2021,iOS,203,1
20.0,7008.681089165189,female,Unknown,10,0.23152990725002964,A,0,2018,,207,1
57.0,2309.6070496908596,female,Giza,15,0.6125449217724704,,1,,iOS,132,0
41.0,5530.898697758359,unknown,Alex,28,0.32306766634784634,D,1,2020,,207,1
49.0,6796.633129724036,unknown,Tanta,20,0.3536401600940554,,1,,,130,0
39.0,,unknown,,44,??,B,0,2020,,50,0
40.0,-3506.6352134649605,male,Tanta,43,0.11821856026558497,A,0,2020,Android,374,0
19.0,13224.488605119228,,,41,0.7742491527392354,C,0,2019,Android,272,1
44.0,13180.03165649652,female,Tanta,42,0.9654344107708936,B,0,2021,iOS,266,0
59.0,15316.5756051522,female,Giza,49,0.49082658165166126,C,1,2019,Android,45,0
19.0,3287.5503486246944,unknown,Tanta,4,0.5598589200933323,A,0,2018,Android,62,0
